Date,Have you taken this survey before?,Donation Contents,Other Items,Accessories,Bags,Books,Cups,Dresses,Electronics,Hats,Household Goods,Jackets,Jewelry,Long-Sleeves,Pants,School Supplies,Shoes,Shorts,Skirts,Sweaters,Shirts,Tank Tops,Water Bottles,Other Items (#),Total Items,Condition (New/Like-New),Condition (Moderately-Used),Donation Reason,Donation Reason (Other),Gender,Ethnicity,Race,Affliation,School Year,College,Faculty Role,Faculty Role (Other),Outhreach Method,Outreaach (Other),Visit Frequency,Will Repeat Donation
2026-01-16 17:56:48,No,"Electronics,School supplies",,,,,,,1.00,,,,,,,2.00,,,,,,,,,3.00,,A few items,Declutter home,,Female,Prefer not to answer,Prefer not to answer,Community member,,,,,Online website,,I have never visited,Maybe
2026-01-20 12:38:19,No,"Long-sleeves,Pants,T-shirts,Tank tops",,,,,,,,,,,,2.00,3.00,,,,,,4.00,1.00,,,10.00,,,"Declutter home,Emotional fulfillment",,Female,Not Hispanic or Latino,Prefer not to answer,UC Davis student,Second Year,Agriculture and Environmental Sciences,,,Volunteer/staff,,More than once a week,Yes
2026-01-22 16:16:59,No,Household goods,Clothes Hangers,,,,,,,,25.00,,,,,,,,,,,,,,25.00,,,"Support people in need,Support environmental sustainability",,Prefer not to say,Prefer not to answer,Prefer not to answer,UC Davis student,Graduate Student,Engineering,,,Online website,,I have never visited,Maybe
2026-01-26 11:19:21,No,"Jackets,Pants,Sweaters",,,,,,,,,,4.00,,,3.00,,,,,6.00,,,,,13.00,A good amount,A few items,"Support people in need,Support environmental sustainability,Declutter home,Charity",,Female,Not Hispanic or Latino,White,Community member,,,,,Walking by,,About once per quarter,Yes
2026-01-26 14:29:01,No,Dresses,,,,,,2.00,,,,,,,,,,,,,,,,,2.00,A good amount,A few items,No longer affiliated with the company/job/college of clothing,,Female,Prefer not to answer,Asian,UC Davis student,Second Year,Biological Sciences,,,Social media,,More than once a week,No
2026-01-26 16:59:42,No,Household goods,,,,,,,,,3.00,,,,,,,,,,,,,,3.00,,,"Support people in need,Support environmental sustainability,Declutter home,Charity,Emotional fulfillment",,Female,Not Hispanic or Latino,White,UC Davis student,Graduate Student,Graduate School,,,Walking by,,About once per quarter,Yes
2026-01-27 11:55:08,No,"Long-sleeves,Sweaters",,,,,,,,,,,,1.00,,,,,,2.00,,,,,3.00,,,"Support people in need,Declutter home",,Male,Not Hispanic or Latino,Asian,UC Davis student,First Year,Letters and Sciences,,,Walking by,,More than once a week,Yes
2026-01-27 15:43:41,No,"Jackets,Long-sleeves,Sweaters,T-shirts,Tank tops",,,,,,,,,,4.00,,5.00,,,,,,2.00,10.00,5.00,,,26.00,A good amount,A good amount,"Support people in need,Support environmental sustainability,Other:",declutter office ,Female,Not Hispanic or Latino,Asian,UC Davis student,Fourth Year,Agriculture and Environmental Sciences,,,Other:,I work at ASUCD,About once per quarter,Yes
2026-01-27 16:59:44,No,T-shirts,,,,,,,,,,,,,,,,,,,2.00,,,,2.00,,,Support people in need,,Female,Not Hispanic or Latino,Asian,UC Davis student,Fourth Year,Letters and Sciences,,,Walking by,,I have never visited,Yes
2026-01-28 14:22:42,No,"Jackets,Pants,Shorts,Sweaters",,,,,,,,,,1.00,,,3.00,,,3.00,,1.00,,,,,8.00,A few items,A good amount,"Support people in need,Support environmental sustainability,Declutter home",,Prefer not to say,Prefer not to answer,Prefer not to answer,Community member,,,,,Walking by,,I have never visited,Maybe
2026-01-28 20:14:05,No,"Dresses,Long-sleeves,Pants,Sweaters,T-shirts,Tank tops",,,,,,3.00,,,,,,3.00,1.00,,,,,1.00,3.00,2.00,,,13.00,,,"Support people in need,Support environmental sustainability,Declutter home",,Female,Not Hispanic or Latino,Asian,UC Davis student,Fourth Year,Letters and Sciences,,,Friend/family,,Less than once a quarter,Yes
2026-01-29 12:30:49,No,"Pants,Skirts",,,,,,,,,,,,,7.00,,,,1.00,,,,,,8.00,,,"Support environmental sustainability,Declutter home",,Female,Hispanic or Latino,Prefer not to answer,UC Davis student,Fifth Year or above,Agriculture and Environmental Sciences,,,Walking by,,Less than once a quarter,Yes
2026-01-29 13:52:21,No,"Jackets,Long-sleeves,Pants",,,,,,,,,,1.00,,1.00,2.00,,,,,,,,,,4.00,A good amount,,"Declutter home,Charity,Emotional fulfillment",,Female,Prefer not to answer,Asian,UC Davis student,First Year,Biological Sciences,,,Walking by,,I have never visited,Yes
2026-01-29 13:52:50,No,T-shirts,,,,,,,,,,,,,,,,,,,7.00,,,,7.00,A good amount,,"Support people in need,Declutter home,Charity",,Male,Prefer not to answer,Asian,UC Davis student,First Year,Agriculture and Environmental Sciences,,,Social media,,I have never visited,Yes
2026-01-29 14:05:23,No,"Accessories,Bags,Electronics,T-shirts,Water bottles",,6.00,2.00,,,,1.00,,,,,,,,,,,,2.00,,2.00,,13.00,A few items,,Declutter home,,Female,Prefer not to answer,Asian,UC Davis student,First Year,Agriculture and Environmental Sciences,,,Walking by,,About once per quarter,Yes
2026-01-29 14:59:26,No,"Jackets,T-shirts,Water bottles, Hoodies, Other",,,,,,,,,,25.00,,,,,,,,50.00,15.00,,20.00,,110.00,A few items,A few items,"Support people in need,Support environmental sustainability,Charity,Emotional fulfillment",,Female,Hispanic or Latino,White,Community member,,,,,Other:,Googled donating (looking to donate not sold for profit items),I have never visited,Yes
2026-01-29 16:44:03,No,"T-shirts,Tank tops",,,,,,,,,,,,,,,,,,,28.00,13.00,,,41.00,A few items,,"Support people in need,Declutter home",,Female,Hispanic or Latino,White,UC Davis student,Fourth Year,Letters and Sciences,,,Walking by,,I have never visited,Yes
2026-01-29 16:44:17,No,"Dresses,Jackets,Long-sleeves,Pants,Shorts,Skirts,Sweaters,T-shirts",,,,,,4.00,,,,10.00,,9.00,6.00,,,5.00,4.00,1.00,1.00,,,,40.00,A good amount,A few items,Declutter home,,Female,Hispanic or Latino,White,UC Davis student,Fourth Year,Agriculture and Environmental Sciences,,,Walking by,,I have never visited,Yes
2026-01-29 19:18:48,No,"Jackets,Shorts,T-shirts",,,,,,,,,,2.00,,,,,,1.00,,,5.00,,,,8.00,A good amount,,"Support people in need,Support environmental sustainability,Declutter home",,Female,Not Hispanic or Latino,Asian,UC Davis student,Fourth Year,Letters and Sciences,,,Walking by,,About once per month,Yes
2026-01-30 13:29:47,No,"Bags,Electronics,T-shirts",,,1.00,,,,2.00,,,,,,,,,,,,3.00,,,,6.00,,,"Support people in need,Support environmental sustainability,Declutter home",,Non-binary/third gender,Not Hispanic or Latino,Black,UC Davis student,Third Year,Agriculture and Environmental Sciences,,,Social media,,About once a week,Yes
2026-02-01 18:11:53,No,"Dresses,Jackets,Long-sleeves,Pants,Shorts,Skirts,Sweaters,T-shirts",,,,,,2.00,,,,3.00,,2.00,7.00,,,3.00,3.00,4.00,7.00,,,,31.00,,,"Support people in need,Support environmental sustainability",,Female,Hispanic or Latino,Black,UC Davis student,Fourth Year,Letters and Sciences,,,Walking by,,Less than once a quarter,Yes
2026-02-02 14:12:50,No,Dresses,,,,,,4.00,,,,,,,,,,,,,,,,,4.00,,,"Support people in need,Support environmental sustainability",,Female,Not Hispanic or Latino,Asian,UC Davis student,Fourth Year,Agriculture and Environmental Sciences,,,Walking by,,Less than once a quarter,Yes
2026-02-02 14:45:18,No,"Bags,Dresses,Long-sleeves,Pants,Sweaters",,,2.00,,,2.00,,,,,,3.00,3.00,,,,,2.00,,,,,12.00,,,"Support people in need,Declutter home,Charity",,Female,Prefer not to answer,Asian,UC Davis staff,,,Admin and Professional,,Social media,,Less than once a quarter,Yes
2026-02-03 15:39:19,Yes,"T-shirts,Other",Shirts and soap,,,,,,,,,,,,,,,,,,3.00,,,,3.00,,,,,,,,,,,,,,,,
2026-02-04 15:15:22,No,Bags,,,1.00,,,,,,,,,,,,,,,,,,,,1.00,,,Declutter home,,Female,Not Hispanic or Latino,White,UC Davis student,Second Year,Letters and Sciences,,,Walking by,,About once per month,Yes
2026-02-04 15:40:02,Yes,"Jackets,Shoes",,,,,,,,,,1.00,,,,,4.00,,,,,,,,5.00,A few items,,"Support people in need,Support environmental sustainability,Other:",they dont fit me so theyve just been sitting in my closet,,,,,,,,,,,,Maybe
2026-02-05 13:50:49,No,"Long-sleeves,Pants",,,,,,,,,,,,6.00,3.00,,,,,,,,,,9.00,A few items,A few items,"Support people in need,Declutter home,Charity",,Female,Prefer not to answer,Prefer not to answer,UC Davis student,Third Year,Engineering,,,Walking by,,Less than once a quarter,Maybe
2026-02-05 14:05:47,No,"Dresses,Jackets,Long-sleeves,Pants,Skirts,Sweaters",,,,,,4.00,,,,1.00,,4.00,1.00,,,,2.00,1.00,,,,,13.00,A few items,,"Support people in need,Support environmental sustainability,Declutter home",,Female,Hispanic or Latino,Asian,UC Davis student,Second Year,Engineering,,,Walking by,,About once per quarter,Yes
2026-02-06 17:08:40,No,"Dresses,Pants,T-shirts",,,,,,1.00,,,,,,,1.00,,,,,,2.00,,,,4.00,A good amount,A few items,"Support people in need,Support environmental sustainability,Declutter home",,Female,Not Hispanic or Latino,White,Community member,,,,,Walking by,,Less than once a quarter,Yes
2026-02-12 13:56:56,Yes,"Pants,Shorts,Sweaters",,,,,,,,,,,,,1.00,,,1.00,,5.00,,,,,7.00,,A few items,"Support people in need,Support environmental sustainability,Declutter home",,,,,,,,,,,,,Yes
2026-02-20 17:15:18,No,School Supplies,,,,,,,,,,,,,,100.00,,,,,,,,,100.00,,A few items,"Support environmental sustainability,Declutter home",,Female,Not Hispanic or Latino,White,Community member,,,,,Other:,Community Merchantile ,I have never visited,Yes
2026-02-24 11:49:23,No,"Long-sleeves,Pants,Sweaters,T-shirts",,,,,,,,,,,,2.00,1.00,,,,,2.00,1.00,,,,6.00,,,"Support people in need,Support environmental sustainability,Declutter home,Emotional fulfillment",,Female,Not Hispanic or Latino,Asian,UC Davis student,First Year,Letters and Sciences,,,Social media,,About once a week,Yes
2026-02-24 15:13:50,No,"Long-sleeves,Pants,T-shirts",,,,,,,,,,,,2.00,2.00,,,,,,5.00,,,,9.00,A few items,,"Support people in need,Support environmental sustainability,Declutter home,Charity,Emotional fulfillment",,Female,Not Hispanic or Latino,Asian,UC Davis student,First Year,Biological Sciences,,,Outreach event,,About once per quarter,Yes
2026-02-24 17:25:39,No,"Bags,Other",Backpack ,,1.00,,,,,,,,,,,,,,,,,,,1.00,2.00,,A good amount,Charity,,Female,Not Hispanic or Latino,Asian,UC Davis student,Graduate Student,Biological Sciences,,,Other:,,Less than once a quarter,No
2026-02-25 14:12:23,No,"Jackets,Sweaters",,,,,,,,,,1.00,,,,,,,,2.00,,,,,3.00,,,"Support people in need,Support environmental sustainability,Declutter home",,Female,Not Hispanic or Latino,White,UC Davis staff,,,Admin and Professional,,Other:,Student ,About once per quarter,Yes
2026-02-25 14:13:09,No,"Accessories,Jackets,Sweaters,T-shirts,Other",Clothes ,5.00,,,,,,,,1.00,,,,,,,,5.00,5.00,,,20.00,36.00,,A few items,,,,,,,,,,,,,,
2026-02-26 13:06:33,No,"Jackets,Long-sleeves,Pants",,,,,,,,,,1.00,,1.00,1.00,,,,,,,,,,3.00,,,"Support people in need,Support environmental sustainability,Declutter home,No longer affiliated with the company/job/college of clothing",,Female,Not Hispanic or Latino,Asian,UC Davis student,First Year,Engineering,,,Online website,,I have never visited,Maybe
2026-02-26 14:02:29,No,"Jackets,Pants,T-shirts",,,,,,,,,,1.00,,,1.00,,,,,,1.00,,,,3.00,,A few items,Support environmental sustainability,,Female,Hispanic or Latino,White,UC Davis student,Fourth Year,Agriculture and Environmental Sciences,,,Social media,,About once per month,Yes
2026-02-26 16:12:51,No,"Sweaters,T-shirts",,,,,,,,,,,,,,,,,,2.00,1.00,,,,3.00,,,"Support people in need,Support environmental sustainability,Declutter home,Emotional fulfillment",,Female,Not Hispanic or Latino,Asian,UC Davis student,Third Year,Agriculture and Environmental Sciences,,,Walking by,,About once per month,Yes
2026-02-26 17:25:29,No,Tank tops,,,,,,,,,,,,,,,,,,,,1.00,,,1.00,,,Support people in need,,Female,Hispanic or Latino,Prefer not to answer,UC Davis student,First Year,Agriculture and Environmental Sciences,,,Walking by,,More than once a week,Yes
2026-02-27 16:02:39,No,"Accessories,Cups/mugs,T-shirts",,1.00,,,1.00,,,,,,,,,,,,,,1.00,,,,3.00,A good amount,,"Support people in need,Support environmental sustainability,Declutter home,No longer affiliated with the company/job/college of clothing",,Female,Prefer not to answer,Asian,UC Davis student,First Year,Engineering,,,Walking by,,About once a week,Yes
2026-03-02 11:47:22,No,"Dresses,Shorts,Sweaters,T-shirts,Tank tops",,,,,,2.00,,,,,,,,,,3.00,,5.00,8.00,7.00,,,25.00,,,"Support people in need,Support environmental sustainability",,Female,Not Hispanic or Latino,White,UC Davis staff,,,Healthcare and Science,,Online website,,About once per quarter,Yes
2026-03-02 14:08:22,Yes,"Pants,Sweaters",,,,,,,,,,,,,5.00,,,,,4.00,,,,,9.00,,,"Support people in need,Support environmental sustainability",,,,,,,,,,,,,Yes
2026-03-02 14:21:17,No,"Shorts,Skirts",,,,,,,,,,,,,,,,2.00,3.00,,,,,,5.00,,,"Support people in need,Declutter home",,Female,Prefer not to answer,Asian,UC Davis student,Second Year,Letters and Sciences,,,Friend/family,,I have never visited,Yes
2026-03-02 18:02:51,No,"Accessories,Household goods,Long-sleeves,Sweaters,Other",Clothes. Ceramics. Trinkets,12.00,,,,,,,2.00,,,1.00,,,,,,1.00,,,,2.00,18.00,,,"Support people in need,Support environmental sustainability,Declutter home",,Female,Not Hispanic or Latino,Asian,Community member,,,,,Other:,Davis Dirt,Less than once a quarter,Yes
2026-03-04 11:58:29,No,Pants,,,,,,,,,,,,,2.00,,,,,,,,,,2.00,,,"Support people in need,Charity",,Female,Hispanic or Latino,Prefer not to answer,UC Davis student,Second Year,Biological Sciences,,,Walking by,,More than once a week,Yes
2026-03-09 14:56:15,No,"Dresses,Pants,Shoes,Shorts,Skirts,Sweaters,T-shirts,Tank tops",,,,,,9.00,,,,,,,10.00,,20.00,11.00,12.00,5.00,10.00,3.00,,,80.00,A good amount,A few items,"Support people in need,Support environmental sustainability,Declutter home,Charity,Emotional fulfillment,No longer affiliated with the company/job/college of clothing",,Female,Not Hispanic or Latino,Asian,UC Davis student,Fourth Year,Letters and Sciences,,,Walking by,,I have never visited,Yes
2026-03-10 11:57:08,Yes,"Long-sleeves,Pants,Skirts,T-shirts",,,,,,,,,,,,1.00,2.00,,,,1.00,,2.00,,,,6.00,A good amount,A few items,Support people in need,,,,,,,,,,,,,Yes
2026-03-10 16:35:08,No,"Bags,Jackets,Pants,Tank tops",,,1.00,,,,,,,1.00,,,2.00,,,,,,,3.00,,,7.00,,,"Declutter home,Charity,Emotional fulfillment",,Female,Not Hispanic or Latino,Asian,UC Davis student,First Year,Letters and Sciences,,,Outreach event,,About once per quarter,Yes
2026-03-12 16:43:49,No,Tank tops,,,,,,,,,,,,,,,,,,,,1.00,,,1.00,,,"Support people in need,Support environmental sustainability,Declutter home",,Female,Not Hispanic or Latino,Asian,UC Davis student,First Year,Letters and Sciences,,,Friend/family,,About once per month,Yes
2026-03-13 17:20:49,No,T-shirts,,,,,,,,,,,,,,,,,,,4.00,,,,4.00,A few items,,"Support people in need,Support environmental sustainability,Declutter home",,Female,Hispanic or Latino,Prefer not to answer,UC Davis student,First Year,Letters and Sciences,,,Social media,,About once per month,Yes
2026-03-16 13:24:44,No,Pants,,,,,,,,,,,,,2.00,,,,,,,,,,2.00,A good amount,A few items,Support people in need,,Female,,,,,,,,,,,